Domain,AN Pass,GD Pass,AN Errors, GD Errors
yeh.so,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xy.si,true,false,,REGISTRAR;REG_DATE;EXP_DATE
portalix.at,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
true,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
you.men,true,true,,
you.golf,true,true,,
Yay.osaka,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
yakatoot.kp,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
y.cg,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xy.si,true,false,,REGISTRAR;REG_DATE;EXP_DATE
xn--wlq142f2xbiz4d.xn--55qx5d,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--vt6b.xn--t60b56a,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--vhquv.xn--vhquv,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--tckwe.xn--tckwe,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--s1aal.xn--80adxhks,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--olcsbban-y3a.hu,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--ogbaxlx4cshc.xn--ngbc5azd,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--oby23q.xn--6qq986b3xl,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--nqv7f.xn--nqv7f,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--mgbu9cnf.xn--mgbab2bd,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--kcrr60g.xn--io0a7i,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--Ideal-7fd.az,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--h1ah.xn--j1amh,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--fjq720a.xn--fjq720a,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--efv.xn--rhqv96g,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--czrs0t.xn--czrs0t,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--cpqw57q.xn--fiqs8s,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--c2bna3cmhll5cie1ff3d.xn--11b4c3d,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--80as4b.xn--90ae,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--80akjeepbkum8a.xn--p1ai,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--80ahccnmkfk4c3f.xn--80asehdb,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--80aapfnbuimesm6d7b.xn--p1acf,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--80aab1bo.xn--c1avg,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--7or27v2x4aplm.xn--kpry57d,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--7or27v2x4aplm.xn--j6w193g,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--3ds443g.xn--6frz82g,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--31buv2bb1mdn.xn--h2brj9c,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xinxinxinxinxinxinxinxinxinxinxinxinxinxinxinxinxinxinxinxinxin.xin,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
www.business-calendars.com,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
wr.rw,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
wound.ca,true,false,,REGISTRAR;REG_DATE;EXP_DATE
wmy.cn,true,true,,
winin.vegas,false,true,REGISTRAR,
wi.je,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
wellnesshotel.bayern,true,true,,
weightwatcher.diet,false,true,REGISTRAR;REG_DATE;EXP_DATE,
wefix.homes,false,true,REGISTRAR;REG_DATE;EXP_DATE,
webshop.software,true,true,,
webpage.spa,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
webpage.rugby,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
webpage.krd,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
webpage.forum,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
webpage.basketball,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
webmaking.science,true,true,,
webmail.fun,true,true,,
wear.video,true,true,,
vpn.baby,false,true,REGISTRAR;REG_DATE;EXP_DATE,
VOIP.gd,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
voicemail.app,true,true,,
vo.ci,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
vitiligo.skin,false,true,REGISTRAR;REG_DATE;EXP_DATE,
visual.gallery,true,true,,
visit.nagoya,true,true,,
virtual.horse,true,true,,
vip.theater,true,true,,
vip.rent,false,true,REGISTRAR;REG_DATE;EXP_DATE,
vip.plus,true,true,,
vip.jewelry,true,true,,
vip.coupons,true,true,,
victoriasecret.pink,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
verification.id,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
venturecapital.technology,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
vehicles.vip,true,true,,
vegetables.farm,true,true,,
veg.tips,true,true,,
vantage.capital,true,true,,
vancouver.plumbing,true,true,,
vaccine.education,true,true,,
uty.pe,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
ussarizona.memorial,true,true,,
upload.ltd,true,true,,
UNIQUE.gifts,true,true,,
uhaul.storage,false,true,REGISTRAR;REG_DATE;EXP_DATE,
ucia.gov,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
ub.uy,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
uae.industries,true,true,,
uae.delivery,true,true,,
twitter.ke,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
twitter.cat,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
twe.et,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
TruckLeader.com,true,true,,
tru.fit,true,true,,
trip.fyi,true,true,,
trip-advance.ru,true,true,,
transparen.cy,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
trademarks.page,true,true,,
trademark.international,true,true,,
toyota.qa,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
tour.realestate,true,true,,
tour.kim,true,true,,
totvs.cloud,true,true,,
torrents.pk,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
TOKYO.holiday,true,true,,
token.charity,true,true,,
tiny.lk,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
thepiratebay.sr,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
thei.st,false,false,REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
the.gent,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
ThaiChicks.asia,true,true,,
thaiboy.wien,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
texas.contractors,true,true,,
test.immobilien,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
tennis-live.stream,true,true,,
tengo.gripe,true,true,,
teneriffa.reisen,true,true,,
template.me,true,true,,
tehran.tennis,true,true,,
teach.guitars,false,true,REGISTRAR;REG_DATE;EXP_DATE,
te.gl,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
tax.vg,false,true,REGISTRAR;REG_DATE;EXP_DATE,
tag.agency,true,true,,
symphonic.audio,false,true,REGISTRAR;REG_DATE;EXP_DATE,
super.car,false,true,REGISTRAR;REG_DATE;EXP_DATE,
stripper.pub,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
store.cologne,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
stockmarket.scot,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
StockMarket.exchange,true,true,,
stea.ls,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
StartA.club,true,true,,
stairlifts.forsale,true,true,,
sta.gg,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
squ.ad,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
SPORT.nf,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
sport.football,true,true,,
sport.as,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
specialty.tires,true,true,,
sorceress.mom,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
somoschile.cl,true,false,,REGISTRAR;REG_DATE;EXP_DATE
solarfarm.investments,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
snu.dev,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
smsf.accountants,true,true,,
slots.tt,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
slotmachines.casino,true,true,,
sites.immo,true,true,,
site.sb,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
SINCITY.adult,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
simple.earth,true,true,,
shopping.ac,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
ship.ua,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
sexworld.sk,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
sexuallesson.cz,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
sexcity.kr,false,true,REGISTRAR,
sexchat.so,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
SEXBOM.ba,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
sex.ec,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
sex.bj,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
seocontent.marketing,true,true,,
seo.vi,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
seo.nc,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
seo.mv,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
seo.gf,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
seo.cv,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
seo.bm,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
selfie.cards,true,true,,
security.finance,true,true,,
Secondhand.camera,true,true,,
sdn.link,true,true,,
Scottsdale.pro,true,true,,
scotch-soda.clothing,true,true,,
schweiz.gmbh,true,true,,
schoolof.dance,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
school.lb,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
scenic.africa,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
scamconsumer.review,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
sale.apartments,true,true,,
saks.shoes,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
sailing.yachts,false,true,REGISTRAR;REG_DATE;EXP_DATE,
Safe.glass,true,true,,
RutherfordCounty.name,false,false,REGISTRAR;REG_DATE;EXP_DATE,REG_DATE;EXP_DATE
roi.center,true,true,,
rocket.systems,true,true,,
rocket.partners,true,true,,
rob.monster,false,true,REGISTRAR;REG_DATE;EXP_DATE,
rnt.bz,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
ritz.capetown,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
Risky.markets,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
rich.tours,true,true,,
rich.photography,true,true,,
Rich.group,true,true,,
rich.gold,true,true,,
revolver.film,true,true,,
review.law,true,true,,
ReverseHome.mortgage,true,true,,
ReverseHome.loan,true,true,,
restaurant.cab,true,true,,
rentmy.limo,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
reference.cc,true,true,,
redor.black,true,true,,
realtor.band,true,true,,
RawFood.mobi,true,true,,
rate.insure,true,true,,
rare.hair,false,true,REGISTRAR;REG_DATE;EXP_DATE,
qxn.ren,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
quotes.cool,true,true,,
quote.digital,true,true,,
quirky.sucks,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
quirky.bs,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
quero.vc,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
quality.institute,true,true,,
puzzle.ninja,true,true,,
pussy.do,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
pussy.cd,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
psychics.la,false,true,REG_DATE;EXP_DATE,
prostitutes.su,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
programming.codes,true,true,,
prints.photo,true,true,,
price.company,true,true,,
prettygirl.sexy,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
PREMIUM.supply,true,true,,
portalix.pt,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
portalix.pl,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
portalix.nl,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
portalix.li,false,false,REGISTRAR;REG_DATE;EXP_DATE,REG_DATE;EXP_DATE
portalix.it,true,false,,REGISTRAR;REG_DATE;EXP_DATE
portalix.gr,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
portalix.fr,true,false,,EXP_DATE
portalix.dk,false,false,REGISTRAR,REGISTRAR
portalix.ch,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
portalix.be,false,false,EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
portalix.at,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
pornstar.directory,true,true,,
Porns.gay,true,true,,
porn.xn--q9jyb4c,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
porn.pr,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
